Month,Longitude,Latitude,Location,Crimetype,Town,POPULATION
2017-05,-5.895052,54.587762,Castlereagh Road,SHOP,NA,NA
2017-03,-5.95396,54.597731,Dunlewey Street,CDAR,NA,NA
2017-03,-5.96736,54.626322,Ballysillan Road,BURG,NA,NA
2015-03,-5.717826,54.327056,Market Street,VISO,NA,NA
2015-12,-6.389303,54.451548,Lakelands,SHOP,NA,NA
2015-09,-5.936466,54.58658,Claremont Street,BURG,NA,NA
2016-05,-7.324298,55.035557,Fernabbey Drive,VISO,NA,NA
2015-02,-6.342764,54.463541,Prospect Way,VISO,NA,NA
2016-07,-5.83573,54.640914,Hibernia Street,VISO,NA,NA
2015-09,-5.933083,54.595336,Brunswick Street,VISO,NA,NA
2017-05,-5.991954,54.57409,Slievegallion Drive,VECR,NA,NA
2017-07,-6.015232,54.562902,Cloona Park,VECR,NA,NA
2015-10,-6.354626,54.159346,Ashton Heights,Other theft,NA,NA
2016-08,-6.351386,54.189994,Larchmount,ASBO,NA,NA
2015-09,-5.973975,54.624097,Bilston Road,ASBO,NA,NA
2017-12,-5.936449,54.609842,St James Mews,Drugs,NA,NA
2017-03,-6.325869,54.310992,Poyntzpass Road,CDAR,NA,NA
2017-08,-5.896076,54.591895,Beersbridge Road,ASBO,NA,NA
2016-05,-5.671813,54.659042,Railwayview Street,VISO,NA,NA
2017-04,-5.907394,54.584823,Ardenlee Park,ASBO,NA,NA
2017-04,-6.36496,54.376433,Ann Street,ASBO,NA,NA
2016-07,-6.525001,55.073697,Margaret Avenue,ASBO,NA,NA
2015-06,-5.947415,54.588806,Donegall Road,Other theft,NA,NA
2016-06,-6.064423,54.524211,Linnet Park,ASBO,NA,NA
2016-05,-5.981579,54.602508,Black Mountain Walk,ASBO,NA,NA
2017-04,-5.950441,54.579998,Chadwick Street,VISO,NA,NA
2015-12,-6.654526,54.349418,Upper English Street,VISO,NA,NA
2017-09,-6.339843,54.459494,James Street,ASBO,NA,NA
2016-10,-7.311945,54.999835,St Columbs Road,VISO,NA,NA
2015-10,-7.255083,55.046929,Culmore Point,ASBO,NA,NA
2016-05,-5.706257,54.331905,Marian Park,CDAR,NA,NA
2015-06,-5.938153,54.609817,Vicinage Place,ASBO,NA,NA
2015-05,-5.671459,54.661983,Primrose Street,VISO,NA,NA
2015-11,-5.945926,54.632816,Woodburn Drive,CDAR,NA,NA
2017-11,-7.26896,55.052062,Ardan Road,ASBO,NA,NA
2015-11,-6.219285,54.714583,Market Square,Other theft,NA,NA
2016-07,-6.357117,54.186101,Fifth Avenue,BURG,NA,NA
2017-01,-6.106322,54.501343,Cross Lane,BURG,NA,NA
2017-05,-5.799434,54.718566,Mckeens Avenue,ASBO,NA,NA
2015-03,-7.35903,54.140801,Wattlebridge Road,CDAR,NA,NA
2016-03,-5.955123,54.597993,O'Neill Street,ASBO,NA,NA
2015-03,-7.342695,55.016219,Gweebara Park,ASBO,NA,NA
2015-09,-5.932085,54.578994,Sandhurst Drive,ASBO,NA,NA
2015-03,-5.902077,54.54348,Ballylenaghan Park,VISO,NA,NA
2017-11,-6.340907,54.174298,Corn Market,VISO,NA,NA
2017-08,-6.776621,54.499915,Manse Road,ASBO,NA,NA
2017-10,-6.337594,54.176318,Margaret Street,Other theft,NA,NA
2015-06,-6.293019,54.461834,Victor Place,CDAR,NA,NA
2015-12,-5.925779,54.586208,Dudley Street,ASBO,NA,NA
2016-01,-6.370055,54.467605,Knockramer Meadows,ROBY,NA,NA
2015-10,-5.935936,54.612331,Antrim Road,ROBY,NA,NA
2015-11,-5.938796,54.60476,Sherbrook Close,VISO,NA,NA
2017-01,-6.052099,54.511829,Ridgeway Street,SHOP,NA,NA
2015-07,-7.31798,54.995944,Foyle Street,VISO,NA,NA
2015-09,-5.941939,54.570383,Danesfort Park South,VISO,NA,NA
2015-07,-6.332204,54.4623,Market Street,CDAR,NA,NA
2016-05,-6.323087,54.457439,Hamilton Street,Other theft,NA,NA
2017-12,-5.710589,54.587709,West Green,ASBO,NA,NA
2017-01,-5.955374,54.621691,Oldpark Road,Drugs,NA,NA
2015-11,-5.650977,54.400966,Frederick Street,CDAR,NA,NA
2015-03,-6.270225,54.348805,Scarva Street,CDAR,NA,NA
2016-07,-7.351518,55.014856,Marianus Park,VISO,NA,NA
2017-04,-5.961549,54.608452,Disraeli Street,CDAR,NA,NA
2017-02,-6.271868,54.883824,Dunclug Gardens,ASBO,NA,NA
2017-10,-5.932635,54.591645,Ventry Street,ASBO,NA,NA
2015-07,-6.01017,54.569387,Horn Drive,CDAR,NA,NA
2016-04,-6.0269,54.547657,Broom Park,ASBO,BELFAST,"335,665"
2017-12,-6.222675,54.702,Greenmount Road,CDAR,NA,NA
2015-01,-6.323532,54.460149,Lime Grove,VISO,NA,NA
2016-11,-6.368661,54.35722,Park Lane,ASBO,NA,NA
2017-02,-5.928221,54.608794,Earl Close,Other theft,NA,NA
2017-10,-5.931399,54.62335,Skegoneill Drive,Other theft,NA,NA
2015-01,-6.024177,54.574872,Suffolk Road,ASBO,NA,NA
2015-05,-6.283542,54.570978,Feumore Road,Other theft,NA,NA
2016-10,-6.345128,54.45618,Drumlin Drive,ASBO,NA,NA
2015-09,-6.65249,54.348658,Jennys Row,ASBO,NA,NA
2017-09,-6.225419,54.481156,Main Street,VISO,NA,NA
2016-08,-5.673117,54.648698,Abbot'S Close,ASBO,NA,NA
2015-03,NA,NA,No Location,BURG,NA,NA
2015-11,-6.338279,54.464621,Rectory Road,Possession of weapons,NA,NA
2017-06,-6.441872,54.084819,Newry Road,Drugs,NA,NA
2016-03,-7.31798,54.995944,Foyle Street,ASBO,NA,NA
2015-01,-7.297527,54.61245,Lisanelly Heights,VISO,NA,NA
2016-06,-7.318823,54.996883,Foyle Street,VISO,NA,NA
2016-06,-6.667463,55.129059,Chapel Square,ASBO,NA,NA
2017-04,-6.028937,54.551553,Lagmore Grove,ASBO,NA,NA
2016-10,-5.935351,54.629392,Mount Carmel,Other theft,NA,NA
2016-09,-6.024312,54.091892,Moyad Road,VISO,NA,NA
2017-05,-5.869153,54.607894,Holywood Road,Possession of weapons,NA,NA
2015-07,-7.297256,54.629076,Coronation Cottages,Drugs,NA,NA
2017-07,-5.979075,54.56401,Upper Lisburn Road,Other theft,NA,NA
2016-10,-7.277917,54.998614,Durham Park,SHOP,NA,NA
2017-04,-6.33363,54.4678,Grattan Street,ASBO,NA,NA
2017-11,-5.94748,54.632402,Cavehill Road,CDAR,NA,NA
2015-03,-7.627184,54.344019,Westville Terrace,Other theft,NA,NA
2015-10,-6.936259,55.045665,Shanreagh Park,ASBO,NA,NA
